experiment,algorithm,repeat,fold,outer_fold_index,best_params,best_inner_roc_auc
no_scaling_ablation,k-NN,1,1,1,"{""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.9743200861254012
no_scaling_ablation,k-NN,1,2,2,"{""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.9740519404322209
no_scaling_ablation,k-NN,1,3,3,"{""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.9746471441762301
no_scaling_ablation,k-NN,1,4,4,"{""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.9694988567911006
no_scaling_ablation,k-NN,1,5,5,"{""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.9738808369608231
no_scaling_ablation,k-NN,2,1,6,"{""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.9797751643362793
no_scaling_ablation,k-NN,2,2,7,"{""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.9698666553994636
no_scaling_ablation,k-NN,2,3,8,"{""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.9771127379853142
no_scaling_ablation,k-NN,2,4,9,"{""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.9678681352504067
no_scaling_ablation,k-NN,2,5,10,"{""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.9664622081519588
no_scaling_ablation,k-NN,3,1,11,"{""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.9711786318867345
no_scaling_ablation,k-NN,3,2,12,"{""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.9746266880193906
no_scaling_ablation,k-NN,3,3,13,"{""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.9707085696697885
no_scaling_ablation,k-NN,3,4,14,"{""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.9686925647451963
no_scaling_ablation,k-NN,3,5,15,"{""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.9727187692366884
no_scaling_ablation,RBF SVM,1,1,1,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9767767486149584
no_scaling_ablation,RBF SVM,1,2,2,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9775789872158466
no_scaling_ablation,RBF SVM,1,3,3,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9823154377170997
no_scaling_ablation,RBF SVM,1,4,4,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9792100866200588
no_scaling_ablation,RBF SVM,1,5,5,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9779039498417094
no_scaling_ablation,RBF SVM,2,1,6,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9791557086246317
no_scaling_ablation,RBF SVM,2,2,7,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9770834707382491
no_scaling_ablation,RBF SVM,2,3,8,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9779184804115552
no_scaling_ablation,RBF SVM,2,4,9,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9779679461812426
no_scaling_ablation,RBF SVM,2,5,10,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9758051928065777
no_scaling_ablation,RBF SVM,3,1,11,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9781606909268786
no_scaling_ablation,RBF SVM,3,2,12,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9809790375060458
no_scaling_ablation,RBF SVM,3,3,13,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9746075715604802
no_scaling_ablation,RBF SVM,3,4,14,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.977849228333993
no_scaling_ablation,RBF SVM,3,5,15,"{""model__C"": 10, ""model__gamma"": ""scale""}",0.9802770014400034
